,Name,Nationality,Age,Height,Stance,Weight Division,Wins,Wins By KO,"Knockout, %",Losses,Draws,Debut
367,Takeshi Inoue,Japan,35,173,orthodox,Super Welterweight,20,12,60,2,3,2014
368,Kazuto Ioka,Japan,35,165,orthodox,Super Flyweight,31,16,52,3,1,2009
369,Sho Ishida,Japan,33,173,orthodox,Bantamweight,34,17,50,4,0,2009
370,Kanat Islam,Kazakhstan,40,178,orthodox,Middleweight,28,22,79,1,0,2012
371,Troy Isley,United States,26,178,orthodox,Middleweight,14,5,36,0,0,2021
372,Moses Itauma,United Kingdom,20,198,southpaw,Heavyweight,11,9,82,0,0,2017
373,Masayuki Ito,Japan,33,174,orthodox,Lightweight,27,15,56,4,1,2009
374,Ryosuke Iwasa,Japan,35,171,orthodox,Super Bantamweight,28,18,64,5,0,2008
375,Shokichi Iwata,Japan,28,163,orthodox,Jr Flyweight,14,11,79,1,0,2018
376,Badou Jack,Sweden,41,185,orthodox,Cruiserweight,28,17,61,3,3,2009
377,John Jackson,US Virgin Islands,35,183,orthodox,Super Welterweight,20,15,75,3,0,2009
378,Luke Jackson,Australia,39,169,orthodox,Featherweight,16,7,44,1,0,2013
379,Daniel Jacobs,United States,37,183,orthodox,Super Middleweight,37,30,81,5,0,2007
380,Bakhodir Jalolov,Uzbekistan,30,201,southpaw,Heavyweight,14,14,100,0,0,2018
381,Jamal James,United States,36,188,orthodox,Welterweight,28,12,43,2,0,2010
382,Dante Jardon,Mexico,36,173,orthodox,Welterweight,34,25,74,7,0,2006
383,Brock Jarvis,Australia,27,175,orthodox,Super Lightweight,20,18,90,1,0,2015
384,Chris Jenkins,United Kingdom,36,175,orthodox,Welterweight,23,8,35,7,3,2012
385,Bryant Jennings,United States,40,191,orthodox,Heavyweight,24,14,58,4,0,2010
386,Melvin Jerusalem,Philippines,30,157,orthodox,Minimumweight,23,12,52,3,0,2014
387,Norbelto Jimenez,Dominican Republic,33,168,orthodox,Super Bantamweight,34,18,53,10,6,2010
388,David Jimenez,Costa Rica,32,164,southpaw,Super Flyweight,16,11,69,1,0,2019
389,Tureano Johnson,Bahamas,40,178,orthodox,Middleweight,21,15,71,3,1,2010
390,Callum Johnson,United Kingdom,39,182,orthodox,Cruiserweight,23,15,65,1,0,2010
391,Natasha Jonas,United Kingdom,40,173,southpaw,Welterweight,16,9,56,2,1,2017
392,Roy Jones,United States,55,180,orthodox,Cruiserweight,66,47,71,10,0,1989
393,Anthony Joshua,United Kingdom,35,198,orthodox,Heavyweight,28,25,89,4,0,2013
394,Joe Joyce,United Kingdom,39,198,orthodox,Heavyweight,16,15,94,3,0,2017
395,Batyrzhan Jukembayev,Kazakhstan,33,170,southpaw,Super Lightweight,23,17,74,1,0,2015
396,Agit Kabayel,Germany,32,191,orthodox,Heavyweight,25,17,68,0,0,2011
397,George Kambosos,Australia,31,176,orthodox,Lightweight,21,10,48,3,0,2013
398,Tomoki Kameda,Japan,33,170,orthodox,Featherweight,42,23,55,4,0,2008
399,Yoshihiro Kamegai,Japan,42,175,orthodox,Super Welterweight,27,24,89,5,2,2005
400,Walter Kautondokwa,Namibia,40,188,orthodox,Middleweight,18,17,94,2,0,2013
401,Egidijus Kavaliauskas,Lithuania,36,175,orthodox,Welterweight,24,19,79,2,1,2013
402,Josh Kelly,United Kingdom,30,178,orthodox,Super Welterweight,16,8,50,1,1,2017
403,Conner Kelsall,United Kingdom,25,168,orthodox,Flyweight,12,1,8,0,0,2020
404,Amir Khan,United Kingdom,38,174,orthodox,Welterweight,34,21,62,6,0,2005
405,Arnold Khegai,Ukraine,32,165,orthodox,Featherweight,22,14,64,1,1,2015
406,Otabek Kholmatov,Uzbekistan,26,170,orthodox,Featherweight,12,11,92,1,0,2021
407,Avtandil Khurtsidze,Georgia,45,163,orthodox,Middleweight,33,22,67,2,2,2002
408,Ievgen Khytrov,Ukraine,36,180,orthodox,Middleweight,17,14,82,2,0,2013
409,Sho Kimura,Japan,36,165,orthodox,Flyweight,19,12,63,3,3,2013
410,Andrey Klimov,Russian Federation,42,174,orthodox,Super Featherweight,19,9,47,3,0,2009
411,Wladimir Klitschko,Ukraine,48,198,orthodox,Heavyweight,64,53,83,5,0,1996
412,Enrico Koelling,Germany,34,180,orthodox,Cruiserweight,28,9,32,4,0,2012
413,Chris Kongo,United Kingdom,32,183,orthodox,Welterweight,16,7,44,2,0,2016
414,Matt Korobov,Russian Federation,41,180,southpaw,Middleweight,28,14,50,4,1,2008
415,Sergey Kovalev,Russian Federation,41,183,orthodox,Cruiserweight,35,29,83,5,1,2009
416,Adam Kownacki,Poland,35,191,orthodox,Heavyweight,20,15,75,4,0,2009
417,KSI Stats,United Kingdom,31,183,orthodox,Cruiserweight,1,0,0,1,0,2019
418,Shun Kubo,Japan,34,176,southpaw,Super Bantamweight,13,9,69,2,0,2013
419,Dmytro Kucher,Ukraine,40,188,orthodox,Cruiserweight,24,18,75,3,1,2009
420,Magomed Kurbanov,Russian Federation,29,177,orthodox,Super Welterweight,26,14,54,1,0,2015
421,Sergey Kuzmin,Russian Federation,37,193,orthodox,Heavyweight,15,11,73,2,0,2014
422,Hiroto Kyoguchi,Japan,31,162,orthodox,Flyweight,19,12,63,2,0,2016
423,Tommy Langford,United Kingdom,35,183,orthodox,Super Middleweight,21,6,29,4,0,2012
424,Erislandy Lara,Cuba,41,175,southpaw,Middleweight,31,19,61,3,3,2008
425,Jorge Lara,Mexico,33,168,southpaw,Featherweight,29,21,72,1,2,2010
426,Mauricio Lara,Mexico,26,170,orthodox,Super Featherweight,27,20,74,3,2,2015
427,Angel Ayala,Mexico,24,177,orthodox,Flyweight,18,8,44,0,0,2019
428,Mikael Lawal,United Kingdom,29,188,orthodox,Cruiserweight,17,11,65,2,0,2017
429,Marc Leach,United Kingdom,30,168,southpaw,Super Bantamweight,18,4,22,4,1,2014
430,Josh Leather,United Kingdom,33,178,orthodox,Super Lightweight,13,6,46,0,0,2013
431,Denis Lebedev,Russian Federation,45,180,southpaw,Cruiserweight,32,23,72,3,0,2001
432,Andy Lee,United Kingdom,40,188,southpaw,Middleweight,35,24,69,3,1,2006
433,Mike Lee,United States,37,183,orthodox,Super Middleweight,21,11,52,1,0,2010
434,Brandun Lee,United States,25,178,orthodox,Super Lightweight,29,23,79,0,0,2017
435,Vincent Legrand,France,33,174,southpaw,Bantamweight,32,17,53,1,0,2009
436,Kerman Lejarraga,Spain,32,175,orthodox,Super Welterweight,34,26,76,3,0,2013
437,David Lemieux,Canada,36,177,orthodox,Super Middleweight,43,36,84,5,0,2007
438,Gustavo Lemos,Argentina,28,167,orthodox,Super Lightweight,29,19,66,2,0,2016
439,Angelo Leo,United States,30,168,orthodox,Featherweight,25,12,48,1,0,2012
440,Kevin Lerena,South Africa,32,185,southpaw,Heavyweight,30,14,47,3,0,2011
441,David Light,New Zealand,33,187,orthodox,Cruiserweight,20,12,60,1,0,2017
442,Jorge Linares,Venezuela,39,173,orthodox,Lightweight,47,29,62,9,0,2002
443,Sergey Lipinets,Kazakhstan,35,170,orthodox,Super Lightweight,18,13,72,3,1,2014
444,Vasyl Lomachenko,Ukraine,36,168,southpaw,Lightweight,18,12,67,3,0,2013
445,Teofimo Lopez,United States,27,173,orthodox,Super Lightweight,21,13,62,1,0,2016
446,Josesito Lopez,United States,40,177,orthodox,Welterweight,38,21,55,9,0,2003
447,Adam Lopez,United States,28,175,orthodox,Super Featherweight,16,6,38,5,0,2016
448,Luis Alberto,Mexico,31,163,orthodox,Featherweight,30,17,57,3,0,2015
449,J’Leon Love,United States,37,178,orthodox,Super Middleweight,24,13,54,3,1,2010
450,Montana Love,United States,29,173,southpaw,Super Lightweight,18,9,50,2,1,2015
451,Isaac Lowe,United Kingdom,30,170,orthodox,Featherweight,25,8,32,3,3,2012
452,Erickson Lubin,United States,29,180,southpaw,Super Welterweight,26,18,69,2,0,2013
453,Alberto Machado,Puerto Rico,34,178,orthodox,Super Lightweight,23,19,83,4,0,2012
454,Israil Madrimov,Uzbekistan,29,174,orthodox,Super Welterweight,10,7,70,1,1,2018
455,Jessie Magdaleno,United States,33,163,southpaw,Featherweight,29,18,62,3,0,2010
456,Mark Magsayo,Philippines,29,168,orthodox,Super Featherweight,26,17,65,2,0,2013
457,Marcos Maidana,Argentina,41,170,orthodox,Welterweight,35,31,89,5,0,2004
458,Ilunga Makabu,"Congo, The Democratic Republic of The",37,183,southpaw,Cruiserweight,29,25,86,4,0,2008
459,Arslanbek Makhmudov,Russian Federation,35,197,orthodox,Heavyweight,19,18,95,2,0,2018
460,Paulie Malignaggi,United States,44,173,orthodox,Welterweight,36,7,19,8,0,2001
461,Franklin Manzanilla,Venezuela,36,170,orthodox,Super Bantamweight,20,19,95,7,0,2010
462,Abner Mares,Mexico,39,164,orthodox,Lightweight,31,15,48,3,2,2005
463,Florian Marku,Albania,32,174,southpaw,Welterweight,13,8,62,1,1,2018
464,Miguel Marriaga,Colombia,38,173,orthodox,Super Featherweight,31,26,84,8,0,2009
465,Savannah Marshall,United Kingdom,33,182,orthodox,Super Middleweight,13,10,77,1,0,2017
466,Charles Martin,United States,38,196,southpaw,Heavyweight,29,26,90,4,1,2012
467,Ryan Martin,United States,31,180,orthodox,Super Lightweight,25,15,60,2,0,2013
468,Sandor Martin,Spain,31,172,southpaw,Super Lightweight,42,15,36,3,0,2011
469,Frank Martin,United States,29,173,southpaw,Lightweight,18,12,67,1,0,2017
470,Julio Cesar,Mexico,29,163,orthodox,Super Flyweight,21,15,71,3,0,2015
471,Sergio Martinez,Argentina,49,178,southpaw,Middleweight,57,32,56,3,2,1997
472,Xavier Martinez,United States,27,173,orthodox,Super Featherweight,18,12,67,2,0,2015
473,Kiko Martinez,Spain,38,165,orthodox,Featherweight,44,31,70,12,2,2004
474,Fernando Martinez,Argentina,33,161,orthodox,Super Flyweight,17,9,53,0,0,2017
475,Vanes Martirosyan,Armenia,38,182,orthodox,Super Welterweight,36,21,58,4,1,2005
476,Abdullah Mason,United States,20,175,southpaw,Lightweight,16,14,88,0,0,2021
477,Shabaz Masoud,United Kingdom,28,170,orthodox,Super Bantamweight,14,4,29,0,0,2018
478,Jack Massey,United Kingdom,31,188,orthodox,Cruiserweight,22,12,55,3,0,2013
479,Mateusz Masternak,Poland,37,183,orthodox,Cruiserweight,48,32,67,6,0,2006
480,Derry Mathews,United Kingdom,41,174,orthodox,Lightweight,38,20,53,12,2,2003
481,Reshat Mati,United States,26,178,orthodox,Super Lightweight,15,8,53,0,0,2018
482,Subriel Matias,Puerto Rico,32,173,orthodox,Super Lightweight,21,21,100,2,0,2015
483,Lucas Martin,Argentina,42,169,orthodox,Super Lightweight,39,36,92,5,0,2004
484,Thomas Mattice,United States,34,175,orthodox,Super Featherweight,22,17,77,4,1,2015
